"Table","StartRow","EndRow"
"s1",2,5
"s2b",9,12
"s2",16,19
"s2a",23,26
"qspecialty",30,33
"s3a",37,40
"s4",44,47
"s6",51,54
"s7",58,59
"s9",63,66
"s10",70,73
"s11",77,80
"a2a",84,87
"a2b",91,94
"a5",98,101
"region",105,108
"b3",112,115
"b4",119,122
"qconsent",126,129
"s5",133,139
"s8",143,146
"s12",150,153
"a1",157,160
"a3",164,170
"a3a",174,183
"a3b",187,196
"a4",200,213
"a4a",217,226
"a4b",230,239
"a6",243,250
"a7",254,258
"a8",262,276
"a9",280,282
"a10",286,291
"b1",295,302
"b5",306,310
